DIPUTACIONES LOCALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/2021 18:52 (UTC-5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATALOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'040017C0100,'040017C010003,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0017,1,C,0,2,3,,,,,1,2,1,14,17,28,14,11,32,1,28,21,35,15,36,,,,701,,,,,,,,,,,
'040017C0200,'040017C020003,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0017,2,C,0,2,3,,,,,1,2,1,16,32,4,46,8,35,4,45,16,1,4,11,,,,701,,,,,,,,,,,
'040017C0300,'040017C030003,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0017,3,C,0,2,3,,,,,1,2,1,9,1,3,15,1,35,36,26,33,15,22,38,,,,700,,,,,,,,,,,
'040017C0400,'040017C040003,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0017,4,C,0,2,3,,,,,1,2,1,37,7,32,6,7,2,9,23,42,32,39,32,,,,700,,,,,,,,,,,
'040017C0500,'040017C050003,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0017,5,C,0,2,3,,,,,1,2,1,15,24,7,22,7,6,47,7,48,33,22,38,,,,700,,,,,,,,,,,
'040017C0600,'040017C060003,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0017,6,C,0,2,3,,,,,1,2,1,18,25,3,21,48,8,13,35,1,16,12,38,,,,700,,,,,,,,,,,
'040017C0700,'040017C070003,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0017,7,C,0,2,3,,,,,1,2,1,20,17,5,29,8,8,23,47,11,34,1,15,,,,700,,,,,,,,,,,
'040018B0100,'040018B010003,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0018,1,B,0,1,3,,,,,1,2,1,2,44,49,22,2,34,42,25,31,46,39,41,,,,646,,,,,,,,,,,
'040019B0100,'040019B010003,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0019,1,B,0,1,3,,,,,1,2,1,10,13,42,29,21,47,27,23,6,1,38,43,,,,551,,,,,,,,,,,
'040019C0100,'040019C010003,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0019,1,C,0,1,3,,,,,1,2,1,49,33,18,21,19,42,14,13,32,20,26,11,,,,551,,,,,,,,,,,
'040020B0100,'040020B010003,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0020,1,B,0,1,3,,,,,1,2,1,7,4,46,47,20,4,18,32,21,43,35,1,,,,573,,,,,,,,,,,
'040020C0100,'040020C010003,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0020,1,C,0,1,3,,,,,1,2,1,29,19,32,5,12,22,7,5,41,43,4,3,,,,573,,,,,,,,,,,
'040021B0100,'040021B010003,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0021,1,B,0,1,3,,,,,1,2,1,19,23,25,35,35,45,39,25,11,49,39,24,,,,546,,,,,,,,,,,
'040021C0100,'040021C010003,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0021,1,C,0,1,3,,,,,1,2,1,22,10,29,35,43,13,23,21,17,49,6,36,,,,546,,,,,,,,,,,
'040021C0200,'040021C020003,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0021,2,C,0,1,3,,,,,1,2,1,35,40,43,43,49,2,31,31,33,26,16,37,,,,545,,,,,,,,,,,
'040022B0100,'040022B010003,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0022,1,B,0,1,3,,,,,1,2,1,49,8,44,20,14,37,7,45,36,20,45,24,,,,470,,,,,,,,,,,
'040022C0100,'040022C010003,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0022,1,C,0,1,3,,,,,1,2,1,41,49,27,24,4,21,7,23,29,40,7,14,,,,469,,,,,,,,,,,
'040023B0100,'040023B010003,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0023,1,B,0,1,3,,,,,1,2,1,44,43,36,32,49,29,34,2,42,22,11,33,,,,466,,,,,,,,,,,
'040023C0100,'040023C010003,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0023,1,C,0,1,3,,,,,1,2,1,21,15,31,31,26,31,9,1,5,16,49,8,,,,465,,,,,,,,,,,
'040024B0100,'040024B010003,'04,CAMPECHE,'007,007. TENABO,'0024,1,B,0,1,3,,,,,1,2,1,47,21,40,37,22,33,20,13,1,44,30,3,,,,558,,,,,,,,,,,
'040024C0100,'040024C010003,'04,CAMPECHE,'007,007. TENABO,'0024,1,C,0,1,3,,,,,1,2,1,7,44,40,16,6,14,37,19,39,42,39,23,,,,557,,,,,,,,,,,
'040025B0100,'040025B010003,'04,CAMPECHE,'007,007. TENABO,'0025,1,B,0,1,3,,,,,1,2,1,38,31,18,9,20,24,2,6,30,43,42,3,,,,597,,,,,,,,,,,
'040026B0100,'040026B010003,'04,CAMPECHE,'007,007. TENABO,'0026,1,B,0,1,3,,,,,1,2,1,33,19,45,42,49,21,28,44,36,49,8,25,,,,547,,,,,,,,,,,
'040026C0100,'040026C010003,'04,CAMPECHE,'007,007. TENABO,'0026,1,C,0,1,3,,,,,1,2,1,42,6,2,26,29,5,37,32,16,27,40,31,,,,547,,,,,,,,,,,
'040027B0100,'040027B010003,'04,CAMPECHE,'007,007. TENABO,'0027,1,B,0,1,3,,,,,1,2,1,8,14,32,42,41,16,12,11,1,6,13,10,,,,532,,,,,,,,,,,
'040027C0100,'040027C010003,'04,CAMPECHE,'007,007. TENABO,'0027,1,C,0,1,3,,,,,1,2,1,39,43,16,44,33,2,44,46,6,17,2,13,,,,531,,,,,,,,,,,
'040028B0100,'040028B010003,'04,CAMPECHE,'005,005. SAN FRANCISCO DE CAMPECHE,'0028,1,B,0,1,3,,,,,1,2,1,17,16,13,13,5,3,3,15,11,17,47,30,,,,586,,,,,,,,,,,
'040029B0100,'040029B010003,'04,CAMPECHE,'007,007. TENABO,'0029,1,B,0,1,3,,,,,1,2,1,5,42,32,3,13,1,22,17,24,48,30,4,,,,425,,,,,,,,,,,
'040029C0100,'040029C010003,'04,CAMPECHE,'007,007. TENABO,'0029,1,C,0,1,3,,,,,1,2,1,48,49,19,33,33,11,23,47,15,43,34,21,,,,424,,,,,,,,,,,
'040030B0100,'040030B010003,'04,CAMPECHE,'007,007. TENABO,'0030,1,B,0,1,3,,,,,1,2,1,2,23,19,6,1,25,22,12,14,3,45,28,,,,384,,,,,,,,,,,
'040030C0100,'040030C010003,'04,CAMPECHE,'007,007. TENABO,'0030,1,C,0,1,3,,,,,1,2,1,37,7,16,15,24,42,30,42,11,9,36,45,,,,383,,,,,,,,,,,
'040031B0100,'040031B010003,'04,CAMPECHE,'007,007. TENABO,'0031,1,B,0,1,3,,,,,1,2,1,24,10,41,10,43,36,27,36,2,44,5,7,,,,722,,,,,,,,,,,
'040032B0100,'040032B010003,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0032,1,B,0,1,3,,,,,1,2,1,45,41,27,37,3,2,17,47,45,44,37,20,,,,398,,,,,,,,,,,
'040032C0100,'040032C010003,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0032,1,C,0,1,3,,,,,1,2,1,43,24,31,11,28,3,44,37,29,3,44,3,,,,397,,,,,,,,,,,
'040033B0100,'040033B010003,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0033,1,B,0,1,3,,,,,1,2,1,27,45,20,28,3,17,17,3,23,33,47,19,,,,477,,,,,,,,,,,
'040033C0100,'040033C010003,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0033,1,C,0,1,3,,,,,1,2,1,1,46,32,18,3,18,37,24,2,2,15,24,,,,477,,,,,,,,,,,
'040034B0100,'040034B010003,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0034,1,B,0,1,3,,,,,1,2,1,27,11,2,27,13,23,43,13,31,40,34,13,,,,668,,,,,,,,,,,
'040034C0100,'040034C010003,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0034,1,C,0,1,3,,,,,1,2,1,21,39,41,43,33,8,31,37,13,33,21,32,,,,668,,,,,,,,,,,
'040035B0100,'040035B010003,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0035,1,B,0,1,3,,,,,1,2,1,26,49,8,32,40,34,14,10,18,47,34,28,,,,491,,,,,,,,,,,
'040035C0100,'040035C010003,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0035,1,C,0,1,3,,,,,1,2,1,21,16,27,49,19,22,34,25,15,28,18,32,,,,491,,,,,,,,,,,
'040036B0100,'040036B010003,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0036,1,B,0,1,3,,,,,1,2,1,30,11,30,24,14,21,20,21,5,33,7,22,,,,596,,,,,,,,,,,
'040036C0100,'040036C010003,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0036,1,C,0,1,3,,,,,1,2,1,30,17,47,13,44,22,44,43,48,17,37,37,,,,596,,,,,,,,,,,
'040037B0100,'040037B010003,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0037,1,B,0,1,3,,,,,1,2,1,33,24,40,18,2,40,31,13,44,1,45,41,,,,461,,,,,,,,,,,
'040037C0100,'040037C010003,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0037,1,C,0,1,3,,,,,1,2,1,40,7,28,25,1,27,43,42,6,41,32,44,,,,461,,,,,,,,,,,
'040038B0100,'040038B010003,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0038,1,B,0,1,3,,,,,1,2,1,33,6,29,38,43,23,8,15,14,40,9,34,,,,749,,,,,,,,,,,
'040039B0100,'040039B010003,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0039,1,B,0,1,3,,,,,1,2,1,33,18,33,7,16,10,37,4,46,8,37,33,,,,707,,,,,,,,,,,
'040039C0100,'040039C010003,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0039,1,C,0,1,3,,,,,1,2,1,18,37,9,4,21,26,11,30,7,33,29,31,,,,706,,,,,,,,,,,
'040039C0200,'040039C020003,'04,CAMPECHE,'002,002. SAN FRANCISCO DE CAMPECHE,'0039,2,C,0,1,3,,,,,1,2,1,37,20,26,40,25,20,44,28,11,3,45,20,,,,706,,,,,,,,,,,
'040040B0100,'040040B010003,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0040,1,B,0,1,3,,,,,1,2,1,6,24,27,19,8,41,49,42,25,19,18,24,,,,749,,,,,,,,,,,
'040041B0100,'040041B010003,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0041,1,B,0,1,3,,,,,1,2,1,8,20,24,25,44,14,26,28,12,2,44,27,,,,394,,,,,,,,,,,
'040041C0100,'040041C010003,'04,CAMPECHE,'001,001. SAN FRANCISCO DE CAMPECHE,'0041,1,C,0,1,3,,,,,1,2,1,21,31,43,41,39,28,15,13,18,30,4,43,,,,394,,,,,,,,,,,
'040042B0100,'040042B010003,'04,CAMPECHE,'003,003. SAN FRANCISCO DE CAMPECHE,'0042,1,B,0,1,3,,,,,1,2,1,22,41,42,34,25,36,46,11,9,29,33,27,,,,556,,,,,,,,,,,
'040042C0100,'040042C010003,'04,CAMPECHE,'003,003. SAN FRANCISCO DE CAMPECHE,'0042,1,C,0,1,3,,,,,1,2,1,30,1,3,24,25,22,15,17,42,39,24,31,,,,555,,,,,,,,,,,
'040043B0100,'040043B010003,'04,CAMPECHE,'003,003. SAN FRANCISCO DE CAMPECHE,'0043,1,B,0,1,3,,,,,1,2,1,35,2,27,43,28,9,7,44,1,49,10,10,,,,491,,,,,,,,,,,
'040043C0100,'040043C010003,'04,CAMPECHE,'003,003. SAN FRANCISCO DE CAMPECHE,'0043,1,C,0,1,3,,,,,1,2,1,48,22,14,32,28,46,1,47,31,30,19,12,,,,491,,,,,,,,,,,
'040044B0100,'040044B010003,'04,CAMPECHE,'007,007. TENABO,'0044,1,B,0,1,3,,,,,1,2,1,46,5,40,9,12,14,2,37,45,29,30,17,,,,410,,,,,,,,,,,
'040044C0100,'040044C010003,'04,CAMPECHE,'007,007. TENABO,'0044,1,C,0,1,3,,,,,1,2,1,1,5,44,46,22,41,24,23,35,33,18,17,,,,409,,,,,,,,,,,
'040045B0100,'040045B010003,'04,CAMPECHE,'007,007. TENABO,'0045,1,B,0,1,3,,,,,1,2,1,33,42,27,9,22,7,31,10,17,28,40,6,,,,385,,,,,,,,,,,
'040045C0100,'040045C010003,'04,CAMPECHE,'007,007. TENABO,'0045,1,C,0,1,3,,,,,1,2,1,27,18,26,28,30,41,21,39,40,23,34,4,,,,384,,,,,,,,,,,
'040046B0100,'040046B010003,'04,CAMPECHE,'007,007. TENABO,'0046,1,B,0,1,3,,,,,1,2,1,4,2,21,15,48,28,3,39,16,47,23,24,,,,504,,,,,,,,,,,
'040046C0100,'040046C010003,'04,CAMPECHE,'007,007. TENABO,'0046,1,C,0,1,3,,,,,1,2,1,11,42,19,3,6,8,34,29,24,18,29,3,,,,504,,,,,,,,,,,
'040047B0100,'040047B010003,'04,CAMPECHE,'007,007. TENABO,'0047,1,B,0,1,3,,,,,1,2,1,9,44,43,49,43,34,7,31,18,11,45,10,,,,456,,,,,,,,,,,
'040047C0100,'040047C010003,'04,CAMPECHE,'007,007. TENABO,'0047,1,C,0,1,3,,,,,1,2,1,43,16,26,13,24,19,29,40,37,30,38,10,,,,456,,,,,,,,,,,
'040048B0100,'040048B010003,'04,CAMPECHE,'007,007. TENABO,'0048,1,B,0,1,3,,,,,1,2,1,13,12,20,4,32,45,37,25,17,38,19,3,,,,487,,,,,,,,,,,
'040048C0100,'040048C010003,'04,CAMPECHE,'007,007. TENABO,'0048,1,C,0,1,3,,,,,1,2,1,46,7,41,9,36,28,3,20,22,19,22,30,,,,487,,,,,,,,,,,
